Video ID,Playlist Video Creation Timestamp
QvoM6TK8O6w,2017-08-04T13:02:50+00:00
sPD59NTahc0,2017-08-04T13:02:50+00:00
B5KjwuD3hEg,2017-08-04T13:02:50+00:00
zOQ4ld6NsXE,2017-08-04T13:02:50+00:00
rqCP4Invnrs,2017-08-04T13:02:50+00:00
KWuyx6yZ21U,2017-08-04T13:02:50+00:00
04tC72kZM_o,2017-08-04T13:02:50+00:00
NE6vs4jqXWc,2017-08-04T13:02:50+00:00
rwdwb5Fkgso,2017-08-04T13:02:50+00:00
qLboqerzUzI,2017-08-04T13:02:50+00:00
Qjo_x_8vrVY,2017-08-04T13:02:50+00:00
PYnF66Ssi-A,2017-08-04T13:02:50+00:00
Oncu0bgdcXU,2017-08-04T13:02:50+00:00
JZwU974Qdf4,2017-08-04T13:02:50+00:00
2XqpXmhM1Fc,2017-08-04T13:02:50+00:00
qyNSAIESgn0,2017-08-04T13:02:50+00:00
oSBSpSOh6lQ,2017-08-04T13:02:50+00:00
7pfX1OKqP80,2017-08-04T13:02:50+00:00
1aokooixKIo,2017-08-04T13:02:50+00:00





