Video ID,Playlist Video Creation Timestamp
ma9I9VBKPiw,2018-02-08T16:12:10+00:00
BYlb_MnOhBs,2018-02-11T22:04:39+00:00
s0ZZHNRHA2g,2018-02-11T22:04:43+00:00
BK9pnaXVkQ4,2018-02-11T22:04:48+00:00
 -Pa5nqYXEnY,2018-02-11T22:04:51+00:00
KPctA0hT9c8,2018-02-11T22:04:54+00:00
SoduRTF9J-o,2018-02-11T22:05:02+00:00
nc0988XxoXI,2018-02-11T22:05:05+00:00
BG0xZOA2ya4,2018-02-11T22:05:08+00:00
tBLzFeOHtnM,2018-02-11T22:05:12+00:00
HJRiAkklyyo,2018-02-11T22:05:15+00:00
swEuV_TyTAY,2018-02-11T22:05:18+00:00
A_MjCqQoLLA,2018-02-11T22:05:58+00:00
wXTJBr9tt8Q,2018-02-11T22:06:00+00:00
m2uTFF_3MaA,2018-02-11T22:06:04+00:00
kaOOfci2YC8,2018-02-11T22:06:24+00:00
HdWw9SksiwQ,2018-02-11T22:06:33+00:00
8WVyFoMIxC4,2018-02-11T22:06:38+00:00
wvC4wupHFUU,2018-02-11T22:06:40+00:00
lo75YITL7iE,2018-02-11T22:07:06+00:00
ZtkXoTc37Bg,2018-02-11T22:07:17+00:00
8hrfnQCXHwA,2018-02-11T22:07:19+00:00
IvJ-4T-7Nng,2018-02-11T22:07:32+00:00
9t9Xrw6dOPc,2018-02-11T22:07:55+00:00
WxIRFf-u_Bs,2018-02-11T22:07:57+00:00
nqCRnZr_03I,2018-02-11T22:08:00+00:00
A65UoarV0is,2018-02-11T22:08:07+00:00
YbH1iPzdvdY,2018-02-11T22:08:17+00:00
2lCl4iKIKKI,2018-02-11T22:08:43+00:00
IlnsUbiQjlE,2018-02-11T22:08:45+00:00
0na7EVpKkYg,2018-02-11T22:08:51+00:00
pXKXrQNITkc,2018-02-11T22:09:31+00:00
2QEbjqUG7vU,2018-02-11T22:11:07+00:00
NV5xeC41mUk,2018-02-11T22:11:10+00:00
XzwF8urswkk,2018-02-11T22:11:22+00:00
jM9oQfK5H9w,2018-02-11T22:11:25+00:00
up5DEICL_Q0,2018-02-11T22:11:30+00:00
NxVBDqbPXDc,2018-02-11T22:11:34+00:00
wdo_ATH_ITg,2018-02-11T22:12:12+00:00
80oOFk5tYps,2018-02-11T22:12:15+00:00
KfEEm4Zx-EU,2018-02-11T22:12:51+00:00





