Video ID,Playlist Video Creation Timestamp
CM1-cJBpiWQ,2018-07-07T18:48:20+00:00
2mCkuycJjJs,2018-07-07T18:49:16+00:00
XvOZd-x4Kng,2018-07-08T02:36:29+00:00
cjn0i_D5lWE,2018-07-11T17:42:26+00:00
d_Beig_8Iek,2018-07-19T05:50:26+00:00
xzsIhN3mf-E,2018-07-26T23:31:46+00:00
3r-qDvD3F3c,2018-07-27T02:34:59+00:00
RGoR92AD-vE,2018-08-01T02:53:31+00:00
d_2xqv9Oz7g,2018-08-01T03:00:47+00:00
eXBNx9JL-_w,2018-08-09T03:48:48+00:00
sKzoEwQaF7Y,2018-08-10T14:54:01+00:00
 -XY6alp2SdI,2018-08-10T14:54:01+00:00
Vm29tDmMDlw,2018-08-21T06:41:03+00:00
05vSgyzELMM,2018-08-21T06:42:01+00:00
3raQ7e-Yg7o,2018-08-21T06:43:08+00:00
s4sbx65qVSg,2018-08-21T06:43:59+00:00
t7HsTfXGMo0,2018-08-28T02:34:24+00:00
LEWHx_hoMQs,2018-08-28T02:35:24+00:00
XIB7mTKVVJo,2018-08-28T02:49:53+00:00





