Video ID,Playlist Video Creation Timestamp
f8_EpxhNEsA,2018-06-23T17:08:46+00:00
nCCrryreF_0,2018-06-23T17:09:30+00:00
PvM79DJ2PmM,2018-06-23T17:09:30+00:00
NMRhx71bGo4,2018-06-23T17:09:30+00:00
imLrtJ2o5Ik,2018-06-23T17:09:30+00:00
X2TYH_qTGv8,2018-06-23T17:09:30+00:00
ldDikyahmX8,2018-06-23T17:09:30+00:00
ulRXvH8VOl8,2018-06-23T17:09:30+00:00
zSsJ0rHYs_8,2018-06-23T17:09:30+00:00
ae7AACP1-R0,2018-06-23T17:45:56+00:00
le5BL1KJiOg,2018-06-23T17:45:56+00:00
gAIuby8gEQs,2018-06-23T17:45:56+00:00
hkkBMYBflbk,2018-06-23T17:45:56+00:00
lJZTgynPGT8,2018-06-23T17:45:56+00:00
xKwPOy_nEmI,2018-06-23T17:45:56+00:00
_zO6lWfvM0g,2018-06-23T17:45:56+00:00





