Video ID,Playlist Video Creation Timestamp
3vdhuHmjrw8,2020-03-16T21:40:38+00:00
cNTaFArEObU,2020-03-16T21:41:21+00:00
 -tajHRP9Cm8,2020-03-16T21:41:40+00:00
c254I4DBgp8,2020-03-16T21:41:57+00:00
xbXxDAhbnM0,2020-03-16T21:42:18+00:00
T0dLypToLzE,2020-03-16T21:42:30+00:00
MPcoUCFAVcQ,2020-03-16T21:42:45+00:00
sZkiMvFyNOI,2020-03-16T21:43:07+00:00
WbWhpfXisZw,2020-03-16T21:43:21+00:00
K0gryiltJo0,2020-03-16T21:43:38+00:00
dGTsN0L6x84,2020-03-16T21:43:51+00:00
YbH1iPzdvdY,2020-03-16T21:44:05+00:00
SkVikPiahBM,2020-03-16T21:44:19+00:00
Nm4HveVZ7OY,2020-03-16T21:44:31+00:00
oL3ChQ7whik,2020-03-16T21:44:51+00:00
ksisRzSamj4,2020-03-16T21:45:09+00:00
kpw7cBBrSA4,2020-03-16T21:45:25+00:00
jE55wsnUoDw,2020-03-16T21:45:47+00:00
zZExXBvq_s4,2020-03-16T21:46:06+00:00
MPm-oPy87R0,2020-03-16T21:46:26+00:00
SuxGW7xuTes,2020-03-16T21:46:40+00:00





