Playlist ID,Add new videos to top,Playlist Description (Original),Playlist Image 1 Create Timestamp,Playlist Image 1 URL,Playlist Image 1 Height,Playlist Image 1 Width,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PLMqpaAHRTDPy8FATSG-Z_OKDey7ziUsQG,False,,2020-12-10T02:36:15.222959947+00:00,https://yt3.ggpht.com/VwpZNtYSAe5OQghFw_ubfjvHXIhVRbEKBJD16ZMjVj3oOKw1ENroCvE56xmG14L7avy3m3GLwUg,1000,1000,Greta,,2018-07-20T02:20:52+00:00,2020-12-10T02:36:15+00:00,Manual,Public
PLMqpaAHRTDPyD0O4ShFxhXJREOnJtO_gu,False,,2021-01-18T05:10:29.143854258+00:00,https://yt3.ggpht.com/oZaeKwJejD1toYQ2Zj8uWkYzH4X6KNVkhCh0vjs97iXfTVsFw2MyjXmhFBL7_mKJR9jnuFxYPUg,1000,1000,Offline,,2018-02-08T16:11:53+00:00,2021-01-18T05:10:29+00:00,Manual,Private
PLMqpaAHRTDPxTKc5-gIp1rtiZGVW6HC_B,False,,,,,,Reliability,,2019-11-08T03:03:53+00:00,2019-11-08T03:03:53+00:00,Manual,Private
PLMqpaAHRTDPw60f8_ZR2x029gjt2eHGgR,False,,,,,,"SEM, FIB, TEM",,2017-09-19T12:21:15+00:00,2018-03-02T02:55:37+00:00,Manual,Public
PLMqpaAHRTDPzUorOpyT1DWxkIIqLYvOU3,False,,2021-01-18T17:17:56.794015435+00:00,https://yt3.ggpht.com/ZgAWnPBWyKcdIuBf4a_GKaxHC_DMv-FVTRBHI5jfmt2cUhr56-EqTZPda7IJ9vzpMRlzDwYol6Y,1000,1000,Classic rock,,2019-03-11T21:59:44+00:00,2021-01-18T17:17:56+00:00,Manual,Private
PLMqpaAHRTDPw3l8G7_Fg3h6xPgp_IV9Ej,False,,2021-10-14T05:55:53.655977139+00:00,https://yt3.ggpht.com/h6jQk1cjjSWj6bBGn-MAf7sX6CHaeb4yQior1_pwlfI4-k-Oychz3QHCSU_ipUqjXVZmfSZXkt4,1000,1000,Seattle Concert,,2021-10-14T05:50:39+00:00,2022-09-30T04:13:34+00:00,Manual,Unlisted
PLMqpaAHRTDPyMDYDtQesLX1z52jl3_ttu,False,,,,,,CS,,2019-01-18T05:00:24+00:00,2023-02-15T07:46:37+00:00,Manual,Private
PLMqpaAHRTDPy3-6RATQ4IOA_tv6Ne4Z0F,False,,2020-12-08T13:06:59.027944075+00:00,https://yt3.ggpht.com/PMb7Z9l4j6n1LY1x09zIOauelXSFBApgUreaauMeHxfmPnCWsObL7nSKnjqtb9c_wuHs27fvlWAN,1000,1000,Running,,2017-08-05T00:48:12+00:00,2020-12-08T13:06:59+00:00,Manual,Private
PLMqpaAHRTDPz_f9YOMxysxx9qPw2ESbzp,False,,2020-12-09T15:36:21.824047209+00:00,https://yt3.ggpht.com/r6Ti39FGHo1FGqNQiYRzT48kZJEYzC6KkbhgFDH7SB53huKJ4NLkxXshJ9Kvn9vZszjcbySeZw,1000,1000,Rach Recommends ,,2018-07-07T18:48:18+00:00,2020-12-09T15:36:21+00:00,Manual,Private
PLMqpaAHRTDPyE3IE0WhBJdGM9UvQE-v0P,False,,,,,,Huberman,,2023-03-28T05:13:30+00:00,2023-06-02T15:31:39+00:00,Manual,Private
