Channel Id,Channel Url,Channel Title
UC-9mlH6az1Q_XUP3fw1N4Fg,http://www.youtube.com/channel/UC-9mlH6az1Q_XUP3fw1N4Fg,Steven Wilson
UC0GpFqMHMKQKntY6KP_BHEg,http://www.youtube.com/channel/UC0GpFqMHMKQKntY6KP_BHEg,insidejonsmind
UC0aS83vX569qRQiD1dMyH1w,http://www.youtube.com/channel/UC0aS83vX569qRQiD1dMyH1w,Anything Outdoors with Steve
UC0rqucBdTuFTjJiefW5t-IQ,http://www.youtube.com/channel/UC0rqucBdTuFTjJiefW5t-IQ,TensorFlow
UC18fv3yDege-nPN5zO48eHg,http://www.youtube.com/channel/UC18fv3yDege-nPN5zO48eHg,Kyle Nutt
UC1ET-1gMajGNKzOvm2e_D7Q,http://www.youtube.com/channel/UC1ET-1gMajGNKzOvm2e_D7Q,OPPO
UC1_uAIS3r8Vu6JjXWvastJg,http://www.youtube.com/channel/UC1_uAIS3r8Vu6JjXWvastJg,Mathologer
UC24imaNtImxe77T5PCoUTNw,http://www.youtube.com/channel/UC24imaNtImxe77T5PCoUTNw,Amruth Varshinee
UC2LZO6swZ9SLUEOks3WnsfA,http://www.youtube.com/channel/UC2LZO6swZ9SLUEOks3WnsfA,2veritasium
UC2Onlg1sNFLgjXOZvJCV4og,http://www.youtube.com/channel/UC2Onlg1sNFLgjXOZvJCV4og,Josiah Northern
UC3Wj9aO8VS5ZuXrtWfJf81w,http://www.youtube.com/channel/UC3Wj9aO8VS5ZuXrtWfJf81w,Josh Turner Guitar
UC3XTzVzaHQEd30rQbuvCtTQ,http://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight
UC3lJL1pUvQ2Ih2qZ-4ozrLw,http://www.youtube.com/channel/UC3lJL1pUvQ2Ih2qZ-4ozrLw,SoundGuys
UC415bOPUcGSamy543abLmRA,http://www.youtube.com/channel/UC415bOPUcGSamy543abLmRA,Cleo Abram
UC42GLYQ9Q9z4pEX1anQ9Lzg,http://www.youtube.com/channel/UC42GLYQ9Q9z4pEX1anQ9Lzg,Sunday Mornings HQ
UC4i0urwpMIEYdtJWU7hlu2g,http://www.youtube.com/channel/UC4i0urwpMIEYdtJWU7hlu2g,Megan Davies
UC522meTsOjFWjSdLLrEMMBA,http://www.youtube.com/channel/UC522meTsOjFWjSdLLrEMMBA,Google Zeitgeist
